pno	uno	ano	tno	weight	price	tar	vat	hap	whether
75	17	2	7	56	216387940	43277588	25966553	69365341	1
76	5	4	7	60	837925160	109030770	94695593	203847563	0
77	5	3	4	43	915284370	118887366	103417174	222425740	1
78	18	1	3	8	681925830	47735908	72966174	120728582	1
79	2	2	2	62	258913470	25891347	28480482	54493029	1
80	11	6	6	16	479231580	95846316	57507790	153427406	1
81	20	2	2	41	326894170	65378834	39227300	104727334	1
82	2	2	5	34	897153420	62500742	95965416	158587358	1
83	7	3	3	50	512849370				0
84	5	2	5	69	789216540	78921654	86813819	165856673	1
85	14	3	7	27	634578920	44121524	67870044	112092868	1
86	12	6	5	55	297841530	59568306	35740984	95430490	1
87	9	2	6	49	64589320	12917864	7750718	20789782	0
88	15	6	5	49	851739260	110824078	96256334	207201612	1
89	16	1	7	19	379684150	75936830	45562098	121572228	0
90	7	1	4	68	726391840	50847429	77723927	128692556	1
91	18	6	6	43	172948530	12105395	18505392	30731987	0
92	12	4	7	46	948761230	189752246	113851348	303724794	1
93	12	6	3	20	815249730	163049946	97829968	260953214	1
94	5	4	5	35	296481750	20753722	31723547	52598469	1
95	17	4	5	38	651837920	84724131	73656205	158501536	1
96	19	4	2	10	329796920	65959384	39575630	105561514	1
97	12	5	6	33	144986370				0
98	9	1	7	64	635082940	63508294	69859123	133488617	1
99	12	4	6	63	521379470	104275894	62565536	166962630	1
100	2	4	3	60	593748190	41562377	63531057	105214634	1
101	9	1	6	46	3920730	274451	419518	815169	1
102	7	1	6	58	89781430	17956286	10773772	28851258	0
103	6	1	6	7	158724350	20627631	17935198	38589329	1
104	20	1	3	48	789539210	157907842	94744705	252773747	1
105	3	3	5	34	546837890	38277652	58511554	96910406	1
106	3	2	4	19	276194680	35991403	31218608	67283311	1
107	17	6	5	62	62589170	6258917	6884809	13264926	1
108	5	2	4	14	470681920	61307250	53198917	114579467	1
109	10	3	3	38	19856230	2581313	2243755	4946268	1
110	8	2	1	45	780315400	101841903	88215730	190178833	1
111	5	1	4	10	145872060	18961769	16483383	35471652	0
112	20	5	6	33	34208970	4449668	3865864	8436732	1
113	6	2	2	22	587924360	41055051	62897941	104054292	1
114	1	5	6	17	921658430	119959355	104161779	224194434	1
115	15	5	6	19	678314920	67831492	74614641	142519433	1
116	13	6	6	23	253718690				0
117	17	4	5	59	39472810				0
118	11	5	6	35	564930710	112986142	67791685	180899027	1
119	13	2	7	20	895317260	116396144	101171340	217640784	1
120	14	5	7	8	627845390	81624604	70947099	152598203	1
121	20	3	7	19	312947180	40684135	35363132	76120567	1
122	10	3	4	17	198456920	25893600	22435052	48401952	0
123	19	1	6	8	872594130	61081797	93367593	154475890	1
124	3	3	6	9	75684920	7568492	8325341	15920333	1
125	2	3	3	65	132489670	26497934	15898760	42517894	0
126	16	6	6	12	629573180	44219122	67379230	111671652	1
127	18	2	5	9	745839100	97025083	84286418	181338001	1
128	20	6	7	9	396817240	39681724	43649896	83358120	1
129	18	1	3	45	985372460	68974071	105434653	174529924	0
130	16	1	6	34	526793810	36875567	56366938	93363705	1
131	20	5	6	32	274830690	54966138	32979683	88067021	1
132	2	3	7	60	81245930				0
133	3	4	5	10	712548390				0
134	7	2	5	37	319572640	41539617	36111226	77772043	1
135	13	4	6	24	547839200	54783920	60262312	115147532	1
136	6	2	7	18	845397120	109804437	95520156	205397893	0
137	1	3	5	52	162739480	16273948	17901343	34296491	1
138	3	4	3	51	65319820	6531982	7185180	13838362	1
139	14	5	4	23	392648570	51146210	44379478	95626988	1
140	4	3	7	13	798264150	103778989	90204314	194056603	1
141	10	4	4	60	879436210	114327509	99376372	213825081	1
142	9	2	6	61	238469310	47693862	28616317	76431379	0
143	15	4	7	24	43670810	5683401	4935421	10720122	1
144	1	5	6	17	697381540	48416695	74579824	123069819	0
145	13	2	7	29	241895370	31447960	27334333	58883593	1
146	16	6	6	15	85479610	11114549	9659416	20847265	1
147	8	6	2	49	961738240	192347648	115408589	307877437	1
148	8	3	5	10	471925830				0
149	6	6	5	26	314587690	62917538	37750523	100769361	1
150	2	2	4	50	687912530	68791253	75670378	144582831	1
151	19	4	6	68	529487360	37064515	56655188	93840903	1
152	14	1	7	9	846721930	59270534	90699246	149996280	1
153	11	4	2	63	289354670	28935467	31829014	60885681	1
154	6	1	2	20	48137690				0
155	14	2	4	10	795613820	55694267	85130809	140851576	1
156	13	5	7	48	156924370	31384874	18830924	50336998	1
157	2	2	4	22	72468530	5073796	7754233	12929329	1
158	8	4	7	56	478629180	47862918	52649210	100633328	1
159	11	4	5	19	537914820	69928725	60784355	130786380	0
160	2	4	5	44	361789240	47024051	40881329	88026580	1
161	20	5	7	54	984215360	127875780	111209114	239206094	1
162	9	6	2	20	651982470	45638772	69762124	115474196	1
163	11	6	5	29	235816390				0
164	16	3	4	25	893257490	89325749	98258324	187685373	1
165	19	6	5	70	174589210	34917842	20950705	55989747	1
166	13	4	7	58	319864520	41580997	36144552	77846749	1
167	6	4	3	36	562793180	39495522	60228870	99845592	1
168	16	5	6	8	698245130	48876157	74712129	123614786	1
169	10	5	2	63	821934570	106851594	92878616	199851410	1
170	15	3	7	49	469813270	93962654	56377592	150461446	0
171	5	1	5	25	329175480	65835096	39401058	105337454	1
172	16	4	3	28	94287630				0
173	11	3	6	60	578924310	75459015	65438333	141018548	1
174	1	3	6	13	739216540	96079151	83529569	179682020	1
175	12	4	5	65	216387940	43277588	25966553	69365341	1
176	11	2	3	13	837925160	109030770	94695593	203799663	1
177	18	1	7	22	915284370	118887366	103417174	222405840	1
178	13	2	4	70	681925830	47735908	72966174	120823282	1
179	5	6	7	7	258913470	25891347	28480482	54398329	1
180	17	2	7	24	479231580	95846316	57507790	153455406	0
181	4	6	4	32	326894170	65378834	39227300	104727334	1
182	1	2	3	33	897153420	62500742	95965416	158587358	1
183	15	5	2	60	512849370	51284937	56413431	107819568	1
184	16	5	6	20	789216540	78921654	86813819	165808773	0
185	5	6	2	19	634578920	44121524	67870044	112064868	1
186	7	6	5	13	297841530	59568306	35740984	95382590	1
187	15	6	3	37	64589320	12917864	7750718	20789782	0
188	14	3	5	31	851739260	110824078	96256334	207201612	1
189	18	4	7	62	379684150	75936830	45562098	121620128	1
190	9	2	5	26	726391840	50847429	77723927	128672656	1
191	12	6	6	53	172948530	12105395	18505392	30731987	1
192	5	4	5	11	948761230	189752246	113851348	303676894	1
193	8	6	7	13	815249730				0
194	8	4	4	28	296481750	20753722	31723547	52578569	1
195	20	6	6	33	651837920	84724131	73656205	158501536	1
196	20	3	7	62	329796920	65959384	39575630	105656214	1
197	9	5	3	13	144986370	14498637	15948401	30520338	0
198	12	4	5	11	635082940	63508294	69859123	133440717	1
199	17	1	5	27	521379470	104275894	62565536	166942730	1
200	15	5	2	69	593748190	41562377	63531057	105214634	0
201	8	3	6	20	3920730	274451	419518	767269	1
202	11	6	7	31	89781430	17956286	10773772	28851258	1
203	15	3	6	60	158724350	20627631	17935198	38684029	1
204	7	6	3	18	789539210	157907842	94744705	252725847	1
205	19	3	6	21	546837890				0
206	19	5	6	61	276194680	35991403	31218608	67331211	1
207	15	3	6	18	62589170	6258917	6884809	13217026	1
208	9	4	3	46	470681920	61307250	53198917	114627367	1
209	19	1	5	15	19856230	2581313	2243755	4898368	0
210	20	1	4	32	780315400	101841903	88215730	190178833	1
211	11	1	5	48	145872060	18961769	16483383	35566352	0
212	19	5	4	8	34208970	4449668	3865864	8342032	1
213	9	5	3	65	587924360	41055051	62897941	104074192	1
214	3	6	1	64	921658430	119959355	104161779	224242334	1
215	7	3	4	31	678314920	67831492	74614641	142567333	1
216	9	4	6	10	253718690	25371869	27909056	53307425	1
217	17	3	2	59	39472810	3947281	4342009	8410490	1
218	15	2	6	44	564930710				0
219	4	4	6	67	895317260	116396144	101171340	217688684	1
220	7	1	6	67	627845390	81624604	70947099	152692903	1
221	1	2	5	26	312947180	40684135	35363132	76148567	1
222	11	4	6	19	198456920	25893600	22435052	48401952	1
223	8	5	7	17	872594130	61081797	93367593	154522690	0
224	18	5	7	36	75684920	7568492	8325341	16015033	1
225	7	5	7	32	132489670	26497934	15898760	42517894	1
226	4	2	4	62	629573180	44219122	67379230	111719552	0
227	1	2	6	22	745839100	97025083	84286418	181412801	1
228	20	3	6	20	396817240	39681724	43649896	83404920	1
229	18	1	3	60	985372460	68974071	105434653	174529924	1
230	13	6	6	67	526793810	36875567	56366938	93363705	1
231	4	3	5	61	274830690				0
232	5	2	7	49	81245930	10591273	9183720	19896193	1
233	7	3	3	34	712548390	142509678	85505807	228136685	1
234	10	1	6	40	319572640	41539617	36111226	77772043	1
235	2	1	6	10	547839200	54783920	60262312	115072732	1
236	19	3	7	69	845397120	109804437	95520156	205445793	0
237	6	5	5	53	162739480	16273948	17901343	34296491	1
238	2	4	5	45	65319820	6531982	7185180	13838362	1
239	12	1	6	30	392648570	51146210	44379478	95626988	1
240	7	6	7	38	798264150	103778989	90204314	194104503	1
241	2	6	5	68	879436210	114327509	99376372	213825081	1
242	8	2	3	18	238469310	47693862	28616317	76383479	1
243	13	3	4	12	43670810	5683401	4935421	10692122	0
244	7	2	7	67	697381540	48416695	74579824	123117719	1
245	17	2	4	52	241895370	31447960	27334333	58903493	1
246	12	4	6	57	85479610	11114549	9659416	20895165	1
247	18	2	7	24	961738240	192347648	115408589	307857537	1
248	7	3	6	44	471925830	33035908	50496174	83653282	1
249	4	5	7	17	314587690				0
250	20	6	6	37	687912530	68791253	75670378	144582831	1
251	7	5	2	47	529487360	37064515	56655188	93840903	1
252	10	1	5	54	846721930	59270534	90699246	150090980	1
253	7	4	5	10	289354670	28935467	31829014	60790981	1
254	14	6	4	32	48137690	9627538	5776523	15525261	0
255	20	6	6	70	795613820	55694267	85130809	140946276	1
256	14	4	7	69	156924370	31384874	18830924	50336998	1
257	14	5	2	53	72468530	5073796	7754233	12949229	1
258	8	4	2	18	478629180	47862918	52649210	100585428	1
259	9	1	4	47	537914820	69928725	60784355	130834280	1
260	16	5	7	62	361789240	47024051	40881329	88026580	1
261	17	5	4	60	984215360	127875780	111209114	239206094	1
262	4	6	7	37	651982470	45638772	69762124	115522096	1
263	1	4	5	35	235816390				0
264	16	4	5	23	893257490	89325749	98258324	187685373	1
265	13	4	7	41	174589210	34917842	20950705	55989747	1
266	7	5	2	30	319864520	41580997	36144552	77826849	1
267	13	4	5	41	562793180	39495522	60228870	99845592	1
268	19	5	4	63	698245130	48876157	74712129	123709486	1
269	16	1	5	37	821934570	106851594	92878616	199851410	0
270	7	4	7	56	469813270	93962654	56377592	150461446	1
271	11	4	3	16	329175480	65835096	39401058	105309454	1
272	10	5	6	46	94287630	6599133	10088676	16809009	1
273	3	4	2	20	578924310	75459015	65438333	140970648	1
274	16	4	7	45	739216540	96079151	83529569	179729920	1
275	10	6	5	53	216387940	43277588	25966553	69365341	0
276	2	2	3	36	837925160	109030770	94695593	203847563	1
277	12	6	6	21	915284370	118887366	103417174	222405840	1
278	14	2	6	61	681925830	47735908	72966174	120823282	1
279	8	1	5	11	258913470	25891347	28480482	54445129	1
280	15	1	3	24	479231580	95846316	57507790	153455406	1
281	15	3	7	56	326894170				0
282	15	6	4	39	897153420	62500742	95965416	158587358	1
283	5	4	7	34	512849370	51284937	56413431	107819568	1
284	3	6	7	26	789216540	78921654	86813819	165836773	1
285	15	3	4	55	634578920	44121524	67870044	112112768	1
286	15	3	3	32	297841530	59568306	35740984	95430490	1
287	14	2	2	51	64589320	12917864	7750718	20789782	0
288	6	4	6	56	851739260	110824078	96256334	207201612	1
289	2	5	2	26	379684150	75936830	45562098	121600228	1
290	12	6	5	65	726391840				0
291	13	6	3	29	172948530	12105395	18505392	30712087	1
292	11	1	5	9	948761230	189752246	113851348	303630094	1
293	12	3	7	68	815249730	163049946	97829968	261001114	1
294	13	2	5	65	296481750	20753722	31723547	52598469	1
295	4	2	6	50	651837920	84724131	73656205	158501536	1
296	13	5	5	21	329796920	65959384	39575630	105636314	0
297	6	1	7	67	144986370	14498637	15948401	30568238	1
298	14	6	4	56	635082940	63508294	69859123	133488617	1
299	10	5	6	51	521379470				0
300	10	2	7	26	593748190	41562377	63531057	105194734	1
301	7	3	3	54	3920730	274451	419518	815169	1
302	15	5	5	19	89781430	17956286	10773772	28803358	0
303	16	1	5	28	158724350	20627631	17935198	38664129	1
304	4	5	2	47	789539210	157907842	94744705	252773747	1
305	19	2	6	35	546837890	38277652	58511554	96910406	1
306	11	4	7	35	276194680	35991403	31218608	67331211	1
307	8	5	6	53	62589170	6258917	6884809	13264926	1
308	18	5	3	62	470681920	61307250	53198917	114627367	1
309	18	4	6	39	19856230	2581313	2243755	4946268	0
310	19	6	6	36	780315400	101841903	88215730	190178833	1
311	10	3	6	23	145872060	18961769	16483383	35546452	0
312	11	5	3	16	34208970	4449668	3865864	8388832	1
313	10	1	5	21	587924360	41055051	62897941	104054292	1
314	6	1	4	28	921658430	119959355	104161779	224222434	1
315	18	4	5	25	678314920	67831492	74614641	142547433	1
316	6	1	4	51	253718690	25371869	27909056	53402125	1
317	17	5	3	33	39472810	3947281	4342009	8410490	1
318	17	6	1	46	564930710	112986142	67791685	180899027	0
319	3	5	4	27	895317260	116396144	101171340	217668784	1
320	4	6	6	22	627845390	81624604	70947099	152673003	1
321	4	3	2	69	312947180	40684135	35363132	76168467	1
322	5	4	6	18	198456920	25893600	22435052	48401952	0
323	6	2	6	52	872594130	61081797	93367593	154570590	1
324	16	1	6	6	75684920	7568492	8325341	15920333	1
325	11	3	5	38	132489670	26497934	15898760	42517894	1
326	10	6	6	10	629573180	44219122	67379230	111624852	1
327	10	3	7	26	745839100	97025083	84286418	181412801	1
328	13	4	7	61	396817240	39681724	43649896	83452820	1
329	5	3	7	57	985372460	68974071	105434653	174529924	1
330	14	6	4	28	526793810	36875567	56366938	93343805	0
331	18	1	6	10	274830690	54966138	32979683	87972321	1
332	20	4	6	70	81245930	10591273	9183720	19896193	1
333	9	1	3	45	712548390	142509678	85505807	228136685	1
334	13	2	6	10	319572640	41539617	36111226	77677343	1
335	8	5	5	16	547839200				0
336	9	3	7	45	845397120	109804437	95520156	205445793	1
337	11	5	3	57	162739480	16273948	17901343	34296491	1
338	5	1	6	58	65319820	6531982	7185180	13838362	1
339	10	1	6	32	392648570	51146210	44379478	95646888	1
340	18	6	7	26	798264150	103778989	90204314	194084603	0
341	7	6	5	55	879436210	114327509	99376372	213825081	1
342	15	2	5	19	238469310	47693862	28616317	76383479	1
343	11	3	6	37	43670810	5683401	4935421	10740022	1
344	7	3	7	6	697381540				0
345	19	4	5	65	241895370	31447960	27334333	58903493	1
346	18	2	3	65	85479610	11114549	9659416	20895165	1
347	14	6	4	67	961738240	192347648	115408589	307877437	1
348	13	5	7	25	471925830	33035908	50496174	83633382	1
349	20	6	4	24	314587690	62917538	37750523	100769361	1
350	16	3	6	28	687912530	68791253	75670378	144562931	0
351	5	5	7	62	529487360	37064515	56655188	93840903	1
352	20	2	6	62	846721930	59270534	90699246	150090980	1
353	19	4	7	37	289354670	28935467	31829014	60885681	1
354	18	3	6	34	48137690	9627538	5776523	15525261	1
355	10	5	2	42	795613820	55694267	85130809	140946276	1
356	9	5	5	7	156924370	31384874	18830924	50242298	1
357	15	1	5	46	72468530	5073796	7754233	12949229	1
358	12	5	4	64	478629180	47862918	52649210	100633328	1
359	17	5	6	28	537914820	69928725	60784355	130814380	0
360	8	1	7	51	361789240	47024051	40881329	88026580	1
361	16	6	2	27	984215360	127875780	111209114	239186194	1
362	17	1	2	45	651982470	45638772	69762124	115522096	1
363	5	2	4	57	235816390	16507144	25232353	41860697	1
364	1	3	7	57	893257490	89325749	98258324	187705273	1
365	11	1	4	54	174589210	34917842	20950705	55989747	1
366	12	5	7	52	319864520	41580997	36144552	77846749	1
367	17	2	5	63	562793180	39495522	60228870	99845592	0
368	7	1	5	64	698245130	48876157	74712129	123709486	1
369	14	3	7	10	821934570	106851594	92878616	199756710	1
370	1	5	2	19	469813270	93962654	56377592	150413546	0
371	9	3	5	19	329175480	65835096	39401058	105309454	1
372	11	4	4	52	94287630	6599133	10088676	16809009	1
373	8	6	5	24	578924310	75459015	65438333	140998648	1
374	12	3	7	16	739216540				0
375	17	3	3	29	216387940	43277588	25966553	69345441	1
376	6	2	6	8	837925160	109030770	94695593	203752863	0
377	19	2	2	24	915284370	118887366	103417174	222405840	1
378	10	5	7	12	681925830	47735908	72966174	120775382	1
379	14	6	5	28	258913470	25891347	28480482	54473129	1
380	19	2	3	27	479231580	95846316	57507790	153455406	1
381	12	4	6	52	326894170	65378834	39227300	104727334	1
382	10	4	6	56	897153420	62500742	95965416	158587358	1
383	20	3	5	59	512849370	51284937	56413431	107819568	1
384	17	1	3	62	789216540	78921654	86813819	165856673	0
385	9	4	7	8	634578920	44121524	67870044	112018068	1
386	17	3	4	27	297841530	59568306	35740984	95410590	1
387	9	1	7	30	64589320				0
388	2	3	7	41	851739260	110824078	96256334	207201612	1
389	4	3	4	53	379684150	75936830	45562098	121620128	1
390	9	5	3	63	726391840	50847429	77723927	128692556	1
391	3	4	2	28	172948530	12105395	18505392	30712087	1
392	5	1	6	17	948761230	189752246	113851348	303676894	1
393	6	5	2	21	815249730	163049946	97829968	260981214	1
394	6	6	5	42	296481750	20753722	31723547	52598469	0
395	16	3	3	22	651837920	84724131	73656205	158481636	1
396	20	3	5	51	329796920	65959384	39575630	105656214	1
397	5	3	7	63	144986370	14498637	15948401	30568238	1
398	6	6	5	15	635082940	63508294	69859123	133440717	1
399	8	4	6	24	521379470				0
400	6	5	5	43	593748190	41562377	63531057	105214634	1
401	12	4	7	50	3920730	274451	419518	815169	1
402	7	6	4	19	89781430	17956286	10773772	28803358	1
403	20	1	6	16	158724350	20627631	17935198	38636129	0
404	8	6	7	34	789539210	157907842	94744705	252773747	1
405	20	4	3	10	546837890	38277652	58511554	96815706	1
406	13	4	5	64	276194680	35991403	31218608	67331211	1
407	12	5	5	13	62589170	6258917	6884809	13217026	1
408	14	2	2	61	470681920	61307250	53198917	114627367	1
409	8	1	6	31	19856230	2581313	2243755	4946268	0
410	8	6	7	48	780315400	101841903	88215730	190178833	1
411	15	6	6	59	145872060	18961769	16483383	35566352	1
412	6	4	3	41	34208970	4449668	3865864	8436732	1
413	16	4	6	32	587924360				0
414	20	5	6	46	921658430	119959355	104161779	224242334	1
415	15	4	6	45	678314920	67831492	74614641	142567333	1
416	4	6	3	7	253718690	25371869	27909056	53307425	0
417	16	4	5	59	39472810	3947281	4342009	8410490	1
418	20	1	4	12	564930710	112986142	67791685	180851127	1
419	17	6	5	31	895317260	116396144	101171340	217688684	1
420	4	2	4	61	627845390				0
421	16	3	3	7	312947180	40684135	35363132	76073767	1
422	3	5	1	22	198456920	25893600	22435052	48429952	1
423	10	6	4	44	872594130	61081797	93367593	154570590	1
424	12	5	6	53	75684920	7568492	8325341	16015033	1
425	10	3	2	20	132489670	26497934	15898760	42469994	0
426	5	5	6	21	629573180	44219122	67379230	111699652	1
427	20	1	6	17	745839100	97025083	84286418	181384801	1
428	7	1	6	29	396817240	39681724	43649896	83432920	1
429	11	6	5	57	985372460				0
430	11	6	6	51	526793810	36875567	56366938	93363705	1
431	14	3	7	70	274830690	54966138	32979683	88067021	1
432	19	1	7	12	81245930	10591273	9183720	19848293	1
433	7	2	7	23	712548390	142509678	85505807	228116785	1
434	14	3	4	69	319572640	41539617	36111226	77772043	1
435	6	2	6	42	547839200	54783920	60262312	115167432	0
436	7	4	6	65	845397120	109804437	95520156	205445793	1
437	6	4	3	10	162739480	16273948	17901343	34201791	1
438	3	5	6	35	65319820	6531982	7185180	13838362	1
439	1	2	5	10	392648570	51146210	44379478	95552188	1
440	19	4	7	52	798264150	103778989	90204314	194104503	1
441	18	1	3	29	879436210	114327509	99376372	213805181	1
442	7	1	6	10	238469310	47693862	28616317	76336679	1
443	10	4	6	50	43670810				0
444	7	3	7	21	697381540	48416695	74579824	123097819	1
445	2	5	5	34	241895370	31447960	27334333	58903493	1
446	6	6	5	36	85479610	11114549	9659416	20895165	1
447	9	1	6	56	961738240	192347648	115408589	307877437	1
448	15	2	7	32	471925830	33035908	50496174	83653282	1
449	2	2	5	47	314587690	62917538	37750523	100789261	1
450	20	1	3	28	687912530				0
451	17	5	4	61	529487360	37064515	56655188	93840903	1
452	3	3	7	69	846721930	59270534	90699246	150090980	1
453	20	4	4	27	289354670	28935467	31829014	60865781	1
454	1	3	6	46	48137690	9627538	5776523	15525261	0
455	9	1	7	44	795613820	55694267	85130809	140946276	1
456	17	4	6	30	156924370	31384874	18830924	50317098	1
457	16	3	7	29	72468530	5073796	7754233	12929329	1
458	16	6	6	32	478629180	47862918	52649210	100633328	1
459	6	6	2	15	537914820				0
460	19	2	5	45	361789240	47024051	40881329	88026580	1
461	6	1	5	61	984215360	127875780	111209114	239206094	1
462	12	6	4	34	651982470	45638772	69762124	115522096	1
463	6	4	6	64	235816390	16507144	25232353	41860697	0
464	4	2	7	45	893257490	89325749	98258324	187705273	1
465	2	2	2	21	174589210	34917842	20950705	55969847	1
466	15	1	2	61	319864520	41580997	36144552	77846749	1
467	2	4	4	13	562793180	39495522	60228870	99797692	1
468	3	2	7	67	698245130	48876157	74712129	123709486	1
469	12	4	4	68	821934570	106851594	92878616	199851410	1
470	17	6	7	51	469813270	93962654	56377592	150461446	1
471	1	1	5	53	329175480				0
472	15	3	5	57	94287630	6599133	10088676	16809009	1
473	10	6	7	18	578924310	75459015	65438333	140970648	1
474	8	1	2	23	739216540	96079151	83529569	179710020	1
475	2	6	5	43	216387940	43277588	25966553	69365341	0
476	7	4	4	42	837925160	109030770	94695593	203847563	1
477	18	6	5	47	915284370	118887366	103417174	222425740	1
478	19	5	7	18	681925830	47735908	72966174	120775382	1
479	3	5	3	20	258913470	25891347	28480482	54445129	1
480	3	6	6	39	479231580	95846316	57507790	153475306	1
481	2	3	2	39	326894170	65378834	39227300	104727334	1
482	1	5	7	21	897153420	62500742	95965416	158567458	1
483	4	2	5	55	512849370	51284937	56413431	107819568	1
484	12	1	3	38	789216540	78921654	86813819	165856673	1
485	1	1	6	54	634578920	44121524	67870044	112112768	1
486	10	3	6	21	297841530	59568306	35740984	95410590	1
487	8	3	5	32	64589320	12917864	7750718	20789782	0
488	6	4	3	7	851739260	110824078	96256334	207106912	1
489	11	3	7	53	379684150	75936830	45562098	121620128	1
490	1	1	4	70	726391840	50847429	77723927	128692556	1
491	18	6	7	59	172948530	12105395	18505392	30731987	1
492	13	2	7	42	948761230	189752246	113851348	303724794	1
493	7	5	4	38	815249730	163049946	97829968	261001114	1
494	17	1	3	25	296481750	20753722	31723547	52578569	1
495	12	5	2	44	651837920	84724131	73656205	158501536	1
496	1	6	6	39	329796920	65959384	39575630	105656214	1
497	4	6	2	34	144986370	14498637	15948401	30568238	1
498	9	6	5	46	635082940	63508294	69859123	133488617	1
499	2	5	3	47	521379470	104275894	62565536	166962630	0
500	6	2	5	53	593748190	41562377	63531057	105214634	1
501	11	3	7	43	3920730	274451	419518	815169	1
502	5	4	5	58	89781430	17956286	10773772	28851258	1
503	7	5	6	34	158724350	20627631	17935198	38684029	1
504	12	4	5	39	789539210	157907842	94744705	252773747	1
505	14	3	7	45	546837890	38277652	58511554	96910406	1
506	9	4	4	65	276194680	35991403	31218608	67331211	1
507	19	1	6	28	62589170	6258917	6884809	13245026	1
508	15	4	7	57	470681920	61307250	53198917	114627367	0
509	9	2	3	42	19856230	2581313	2243755	4946268	1
510	4	1	5	41	780315400	101841903	88215730	190178833	1
511	20	5	5	44	145872060	18961769	16483383	35566352	1
512	18	1	2	40	34208970	4449668	3865864	8436732	1
513	19	1	6	70	587924360	41055051	62897941	104074192	1
514	14	5	7	59	921658430				0
515	3	4	6	65	678314920	67831492	74614641	142567333	1
