rno	pno	start	end
239	239	8	9
240	240	9	3
241	241	11	2
242	242	1	5
243	243	2	8
244	244	4	6
245	245	7	10
246	246	3	6
247	247	5	4
248	248	11	1
249	249	9	2
250	250	10	7
251	251	8	11
252	252	6	5
253	253	1	3
254	254	2	9
255	255	7	8
256	256	4	10
257	257	3	7
258	258	8	6
259	259	9	1
260	260	11	4
261	261	10	3
262	262	5	1
263	263	2	11
264	264	6	7
265	265	9	10
266	266	1	2
267	267	4	5
268	268	8	3
269	269	7	6
270	270	11	8
271	271	10	4
272	272	5	9
273	273	3	10
274	274	6	2
275	275	1	7
276	276	9	11
277	277	2	4
278	278	8	1
279	279	11	5
280	280	7	9
281	281	4	2
282	282	3	8
283	283	10	6
284	284	5	11
285	285	1	6
286	286	2	3
287	287	9	4
288	288	8	7
289	289	10	1
290	290	6	8
291	291	5	2
292	292	11	9
293	293	4	7
294	294	3	10
295	295	7	4
296	296	1	8
297	297	9	6
298	298	2	10
299	299	11	3
300	300	8	5
301	301	6	1
302	302	5	9
303	303	4	11
304	304	10	7
305	305	3	2
306	306	1	5
307	307	9	8
308	308	2	6
309	309	7	3
310	310	11	10
311	311	6	10
312	312	9	7
313	313	8	11
314	314	1	3
315	315	2	5
316	316	4	1
317	317	7	2
318	318	3	4
319	319	10	8
320	320	5	6
321	321	11	9
322	322	2	9
323	323	5	1
324	324	4	3
325	325	7	11
326	326	8	6
327	327	10	2
328	328	1	7
329	329	9	4
330	330	6	8
331	331	3	10
332	332	11	5
333	333	8	4
334	334	9	10
335	335	1	2
336	336	7	3
337	337	6	11
338	338	5	9
339	339	4	2
340	340	10	1
341	341	3	8
342	342	2	7
343	343	11	6
344	344	9	5
345	345	10	3
346	346	6	1
347	347	5	8
348	348	2	4
349	349	7	9
350	350	4	10
351	351	8	3
352	352	11	7
353	353	1	6
354	354	3	9
355	355	4	7
356	356	5	10
357	357	1	11
358	358	2	6
359	359	8	5
360	360	9	2
361	361	10	4
362	362	7	8
363	363	11	3
364	364	6	9
365	365	1	4
366	366	5	2
367	367	3	11
368	368	8	1
369	369	4	5
370	370	10	7
371	371	6	2
372	372	9	8
373	373	11	10
374	374	7	4
375	375	2	3
376	376	1	9
377	377	5	6
378	378	8	2
379	379	3	1
380	380	4	11
381	381	10	9
382	382	7	5
383	383	6	3
384	384	2	10
385	385	1	8
386	386	11	6
387	387	9	7
388	388	4	8
389	389	3	2
390	390	5	11
391	391	6	4
392	392	7	1
393	393	10	5
394	394	8	9
395	395	9	3
396	396	11	2
397	397	1	5
398	398	2	8
399	399	4	6
400	400	7	10
401	401	3	6
402	402	5	4
403	403	11	1
404	404	9	2
405	405	10	7
406	406	8	11
407	407	6	5
408	408	1	3
409	409	2	9
410	410	7	8
411	411	4	10
412	412	3	7
413	413	8	6
414	414	9	1
415	415	11	4
416	416	10	3
417	417	5	1
418	418	2	11
419	419	6	7
420	420	9	10
421	421	1	2
422	422	4	5
423	423	8	3
424	424	7	6
425	425	11	8
426	426	10	4
427	427	5	9
428	428	3	10
429	429	6	2
430	430	1	7
431	431	9	11
432	432	2	4
433	433	8	1
434	434	11	5
435	435	7	9
436	436	4	2
437	437	3	8
438	438	10	6
439	439	5	11
440	440	1	6
441	441	2	3
442	442	9	4
443	443	8	7
444	444	10	1
445	445	6	8
446	446	5	2
447	447	11	9
448	448	4	7
449	449	3	10
450	450	7	4
451	451	1	8
452	452	9	6
453	453	2	10
454	454	11	3
455	455	8	5
456	456	6	1
457	457	5	9
458	458	4	11
459	459	10	7
460	460	3	2
461	461	1	5
462	462	9	8
463	463	2	6
464	464	7	3
465	465	11	10
466	466	6	10
467	467	9	7
468	468	8	11
469	469	1	3
470	470	2	5
471	471	4	1
472	472	7	2
473	473	3	4
474	474	10	8
475	475	5	6
476	476	11	9
477	477	2	9
478	478	5	1
479	479	4	3
480	480	7	11
481	481	8	6
482	482	10	2
483	483	1	7
484	484	9	4
485	485	6	8
486	486	3	10
487	487	11	5
488	488	8	4
489	489	9	10
490	490	1	2
491	491	7	3
492	492	6	11
493	493	5	9
494	494	4	2
495	495	10	1
496	496	3	8
497	497	2	7
498	498	11	6
499	499	9	5
500	500	10	3
501	501	6	1
502	502	5	8
503	503	2	4
504	504	7	9
505	505	4	10
506	506	8	3
507	507	11	7
508	508	1	6
509	509	3	9
510	510	4	7
511	511	5	10
512	512	1	11
513	513	2	6
514	514	8	5
515	515	9	2
516	516	10	4
517	517	7	8
518	518	11	3
519	519	6	9
520	520	1	4
521	521	5	2
522	522	3	11
523	523	8	1
524	524	4	5
525	525	10	7
526	526	6	2
527	527	9	8
528	528	11	10
529	529	7	4
530	530	2	3
531	531	1	9
532	532	5	6
533	533	8	2
534	534	3	1
535	535	4	11
536	536	10	9
537	537	7	5
538	538	6	3
539	539	2	10
540	540	1	8
541	541	11	6
542	542	9	7
543	543	4	8
544	544	3	2
545	545	5	11
546	546	6	4
547	547	7	1
548	548	10	5
549	549	8	9
550	550	9	3
551	551	11	2
552	552	1	5
553	553	2	8
554	554	4	6
555	555	7	10
556	556	3	6
557	557	5	4
558	558	11	1
559	559	9	2
560	560	10	7
561	561	8	11
562	562	6	5
563	563	1	3
564	564	2	9
565	565	7	8
566	566	4	10
567	567	3	7
568	568	8	6
569	569	9	1
570	570	11	4
571	571	10	3
572	572	5	1
573	573	2	11
574	574	6	7
575	575	9	10
576	576	1	2
577	577	4	5
578	578	8	3
579	579	7	6
580	580	11	8
581	581	10	4
582	582	5	9
583	583	3	10
584	584	6	2
585	585	1	7
586	586	9	11
587	587	2	4
588	588	8	1
589	589	11	5
590	590	7	9
591	591	4	2
592	592	3	8
593	593	10	6
594	594	5	11
595	595	1	6
596	596	2	3
597	597	9	4
598	598	8	7
599	599	10	1
600	600	6	8
